time,x,y,z,gripper
0.0,20,180,100,0.7
1.0,20,180,70,0.7
2.0,20,180,40,0.7
3.0,-20,145,40,0.7
4.0,60,145,40,0.7
5.0,60,160,40,0.7
6.0,-20,160,40,0.7
7.0,-20,175,40,0.7
8.0,60,175,40,0.7
9.0,60,190,40,0.7
10.0,-20,190,40,0.7
11.0,-20,205,40,0.7
12.0,60,205,40,0.7
12.5,10,160,40,0.7
13.0,15,153,40,0.7
13.5,23,150,40,0.7
14.0,30,153,40,0.7
14.5,35,160,40,0.7
15.0,30,167,40,0.7
15.5,23,170,40,0.7
16.0,15,167,40,0.7
16.5,10,160,40,0.7
17.0,13,157,40,0.7
17.2,18,155,40,0.7
17.4,23,157,40,0.7
17.6,25,160,40,0.7
17.8,23,163,40,0.7
18.0,18,165,40,0.7
18.2,13,163,40,0.7
18.4,10,160,40,0.7
19.0,10,160,70,0.7
20.0,10,160,100,0.7
